"2020/11/06","12:23:01AM","20.77","69.44","20.89","69.64","34.76","36.45","542","21"
"2020/11/06","12:53:03AM","20.76","69.44","20.9","69.69","35.22","36.88","604","31"
"2020/11/06","01:23:04AM","20.72","69.37","20.86","69.62","35.51","37.3","545","22"
"2020/11/06","01:53:05AM","20.74","69.37","20.86","69.62","35.65","37.43","560","24"
"2020/11/06","02:23:07AM","20.71","69.4","20.88","69.64","35.71","37.4","582","27"
"2020/11/06","02:53:08AM","20.71","69.35","20.87","69.62","35.71","37.46","611","32"
"2020/11/06","03:23:09AM","20.72","69.4","20.87","69.66","35.74","37.5","553","23"
"2020/11/06","03:53:11AM","20.76","69.46","20.88","69.62","35.91","37.63","653","38"
"2020/11/06","04:23:12AM","20.74","69.37","20.86","69.58","35.94","37.69","637","36"
"2020/11/06","04:53:13AM","20.72","69.37","20.83","69.55","36.01","37.79","611","32"
"2020/11/06","05:23:15AM","20.72","69.39","20.82","69.55","36.04","37.79","549","22"
"2020/11/06","05:53:16AM","20.75","69.42","20.85","69.6","36.07","37.85","582","27"
"2020/11/06","06:23:18AM","20.68","69.3","20.82","69.55","36.1","37.88","582","27"
"2020/11/06","06:53:19AM","20.65","69.28","20.81","69.55","36.03","37.82","593","29"
"2020/11/06","07:23:20AM","20.7","69.33","20.86","69.6","36.04","37.82","604","31"
"2020/11/06","07:53:22AM","20.7","69.28","20.88","69.67","36.17","37.89","647","37"
"2020/11/06","08:23:23AM","20.74","69.44","21.02","69.87","36.43","38.07","1037","74"
"2020/11/06","08:53:24AM","20.82","69.58","21.12","70.09","36.77","38.31","878","72"
"2020/11/06","09:23:26AM","20.92","69.73","21.22","70.3","37.37","38.87","1479","164"
"2020/11/06","09:53:27AM","20.95","69.84","21.3","70.45","38.13","39.56","1911","230"
"2020/11/06","10:23:28AM","21.04","69.94","21.34","70.52","38.85","40.28","1280","134"
"2020/11/06","10:53:30AM","21.02","69.94","21.34","70.48","39.66","41.19","1069","101"
"2020/11/06","11:23:31AM","21.08","69.98","21.35","70.52","40.03","41.52","1309","138"
"2020/11/06","11:53:32AM","21.09","70.07","21.34","70.48","40.26","41.81","1415","154"
"2020/11/06","12:23:34PM","21.12","70.09","21.36","70.54","40.52","42.1","1080","103"
"2020/11/06","12:53:35PM","21.11","70.09","21.35","70.52","40.32","41.94","1047","98"
"2020/11/06","01:23:36PM","21.11","70.07","21.29","70.41","40.45","42.16","2772","361"
"2020/11/06","01:53:38PM","21.1","70.07","21.29","70.34","40.52","42.29","1839","219"
"2020/11/06","02:23:39PM","21.08","70.0","21.22","70.25","40.77","42.54","1746","205"
"2020/11/06","02:53:40PM","21.06","69.96","21.16","70.14","40.9","42.72","1478","164"
"2020/11/06","03:23:42PM","21.02","69.91","21.17","70.16","41.03","42.85","1791","211"
"2020/11/06","03:53:43PM","21.06","70.02","21.37","70.48","40.9","42.42","1283","134"
"2020/11/06","04:23:44PM","21.02","69.91","21.2","70.18","41.22","43.02","1506","168"
"2020/11/06","04:53:46PM","20.94","69.78","21.11","70.05","41.31","43.1","851","68"
"2020/11/06","05:23:47PM","20.9","69.69","21.02","69.91","41.18","43.09","754","53"
"2020/11/06","05:53:48PM","20.86","69.64","20.99","69.84","41.01","42.9","795","60"
"2020/11/06","06:23:50PM","20.84","69.62","20.94","69.78","40.88","42.83","633","35"
"2020/11/06","06:53:51PM","20.81","69.55","20.98","69.8","40.55","42.48","739","51"
"2020/11/06","07:23:52PM","20.78","69.48","20.97","69.8","40.35","42.31","767","55"
"2020/11/06","07:53:54PM","20.78","69.48","20.93","69.73","40.35","42.24","890","74"
"2020/11/06","08:23:55PM","20.76","69.44","20.89","69.67","40.35","42.24","828","65"
"2020/11/06","08:53:56PM","20.76","69.44","20.86","69.62","40.42","42.27","842","67"
"2020/11/06","09:23:58PM","20.74","69.42","20.88","69.62","40.19","42.08","798","60"
"2020/11/06","09:53:59PM","20.74","69.4","20.88","69.67","39.5","41.4","795","60"
"2020/11/06","10:24:00PM","20.72","69.39","20.84","69.58","39.05","40.91","767","55"
"2020/11/06","10:54:02PM","20.68","69.33","20.86","69.58","39.11","40.98","795","60"
"2020/11/06","11:24:03PM","20.68","69.31","20.86","69.58","38.98","40.88","795","60"
"2020/11/06","11:54:04PM","20.73","69.39","20.86","69.6","38.59","40.49","856","69"
